id,indicador,geo_type,geo_id,geo_nombre,sexo,year,valor
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11020,León,Total,2024,314.198736507333
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11021,Moroleón,Total,2024,252.081259135298
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11022,Ocampo,Total,2024,130.996636572845
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11023,Pénjamo,Total,2024,192.268076632562
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11024,Pueblo Nuevo,Total,2024,170.450143333075
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11025,Purísima del Rincón,Total,2024,170.000566668556
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11026,Romita,Total,2024,133.363925775088
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11027,Salamanca,Total,2024,281.038427925429
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11028,Salvatierra,Total,2024,273.532291711014
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11029,San Diego de la Unión,Total,2024,129.716981132075
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11030,San Felipe,Total,2024,104.784639989915
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11031,San Francisco del Rincón,Total,2024,150.458899643914
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11032,San José Iturbide,Total,2024,179.76426368149
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11033,San Luis de la Paz,Total,2024,241.552987474486
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11034,Santa Catarina,Total,2024,322.476620445018
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11036,Santiago Maravatío,Total,2024,340.993328391401
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11037,Silao,Total,2024,198.868192544734
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11038,Tarandacuao,Total,2024,259.461393933972
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11039,Tarimoro,Total,2024,214.837015622099
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11041,Uriangato,Total,2024,297.154865295267
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11042,Valle de Santiago,Total,2024,172.826720176063
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11043,Victoria,Total,2024,127.510360216768
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11044,Villagrán,Total,2024,135.931776556777
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11045,Xichú,Total,2024,232.954036376669
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11046,Yuriria,Total,2024,153.365356791481
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11001,Abasolo,Hombres,2024,15.799174931975775
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11001,Abasolo,Mujeres,2024,12.145748987854253
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11001,Abasolo,Total,2024,13.898833340352944
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11002,Acámbaro,Hombres,2024,21.654228374772824
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11002,Acámbaro,Mujeres,2024,20.59001643740808
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11002,Acámbaro,Total,2024,21.0926157582841
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11003,Allende,Hombres,2024,10.870581634561436
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11003,Allende,Mujeres,2024,9.681895930376413
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11003,Allende,Total,2024,10.25158395375023
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11004,Apaseo el Alto,Hombres,2024,12.655352565142616
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11004,Apaseo el Alto,Mujeres,2024,14.589929844167132
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11004,Apaseo el Alto,Total,2024,13.644079897193444
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11005,Apaseo el Grande,Hombres,2024,10.451841132014792
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11005,Apaseo el Grande,Mujeres,2024,8.827181735214472
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11005,Apaseo el Grande,Total,2024,9.610242658627133
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11006,Atarjea,Hombres,2024,11.078286558345644
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11006,Atarjea,Mujeres,2024,7.186489399928135
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11006,Atarjea,Total,2024,9.105809506465123
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11007,Celaya,Hombres,2024,12.341800556503006
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11007,Celaya,Mujeres,2024,13.085782227256418
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11007,Celaya,Total,2024,12.725183173754944
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11008,Manuel Doblado,Hombres,2024,9.084389194358115
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11008,Manuel Doblado,Mujeres,2024,10.926095887417507
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11008,Manuel Doblado,Total,2024,10.046579596310163
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11009,Comonfort,Hombres,2024,15.855155482815055
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11009,Comonfort,Mujeres,2024,15.86900025298406
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11009,Comonfort,Total,2024,15.862444753889932
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11010,Coroneo,Hombres,2024,17.23807699674392
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11010,Coroneo,Mujeres,2024,17.22356183258698
52,Camas censables por cada 100 mil habitantes,mun,11035,Santa Cruz de Juventino Rosas,Total,2024,23.0593718141657
52,Camas censables por cada 100 mil habitantes,mun,11040,Tierra Blanca,Total,2024,0.0
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11035,Santa Cruz de Juventino Rosas,Total,2024,129.860672848197
51,Enfermeras en instituciones públicas de salud por cada 100 mil habitantes,mun,11040,Tierra Blanca,Total,2024,136.863466893199
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11010,Coroneo,Total,2024,17.23043438831958
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11011,Cortazar,Hombres,2024,14.863984362273987
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11011,Cortazar,Mujeres,2024,19.03370311268337
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11011,Cortazar,Total,2024,17.008652657601974
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11012,Cuerámaro,Hombres,2024,8.654262224145391
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11012,Cuerámaro,Mujeres,2024,9.23680868260016
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11012,Cuerámaro,Total,2024,8.955491208692797
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11013,Doctor Mora,Hombres,2024,3.515927149989452
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11013,Doctor Mora,Mujeres,2024,7.8828089075740655
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11013,Doctor Mora,Total,2024,5.773672055427252
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11014,Dolores Hidalgo,Hombres,2024,10.7640022737443
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11014,Dolores Hidalgo,Mujeres,2024,8.493586253457327
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11014,Dolores Hidalgo,Total,2024,9.569268323429808
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11015,Guanajuato,Hombres,2024,8.8
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11015,Guanajuato,Mujeres,2024,8.719056825505136
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11015,Guanajuato,Total,2024,8.758442165086903
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11016,Huanímaro,Hombres,2024,13.882002974714924
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11016,Huanímaro,Mujeres,2024,16.162341743737095
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11016,Huanímaro,Total,2024,15.078691923475638
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11017,Irapuato,Hombres,2024,11.768167107972932
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11017,Irapuato,Mujeres,2024,11.157742585806844
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11017,Irapuato,Total,2024,11.454828275202248
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11018,Jaral del Progreso,Hombres,2024,9.151921903599757
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11018,Jaral del Progreso,Mujeres,2024,19.794140934283448
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11018,Jaral del Progreso,Total,2024,14.545089778312768
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11019,Jerécuaro,Hombres,2024,22.6510067114094
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11019,Jerécuaro,Mujeres,2024,15.096618357487923
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11019,Jerécuaro,Total,2024,18.674507310870943
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11020,León,Hombres,2024,8.946784134223638
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11020,León,Mujeres,2024,8.64386323060653
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11020,León,Total,2024,8.793459567370432
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11021,Moroleón,Hombres,2024,15.67257746731148
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11021,Moroleón,Mujeres,2024,15.27638190954774
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11021,Moroleón,Total,2024,15.46380833350986
1055,Tasa de mortalidad por diabetes y enfermedades hipertensivas,mun,11022,Ocampo,Hombres,2024,7.33998825601879
