CVE_COL,ID_COL,COLONIA,CP,CLASIF,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,SUN_2018,NOM_SUN,POB_TOT,P6A14NAE,SBASC,PSDSS,OVSDE,OVSEE,OVSAE,OVPT,OVHAC,OVSREF,OVSINT,OVSCEL,IM_2020,GM_2020,IMN_2020,ENTIDAD,fn_COLONIA,NOM_ENT_etq,marginacion_z
11003_0011,21133.0,Buenavista,37727,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030590.0,Insurgentes,,,91.6223526000977,9.06921246349031,29.8861454615143,32.9136056168291,0.0,0.0,0.0,3.18181799256815,22.7972021275488,4.86013968544752,32.9370624421013,8.98601376036972,147.979420390702,Medio,0.943457669076981,Guanajuato,,Guanajuato,-0.21494333785881237
11003_0012,21136.0,Camino Real,37700,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,93.2140731811523,5.07246360894807,24.3983712782425,44.960096235601,0.0,0.0,0.0,0.135547273543858,16.9095221155098,1.49102007318087,12.3009147233066,2.74483230072713,149.722394993581,Medio,0.954570178855375,Guanajuato,,Guanajuato,0.29306729581548624
11003_0013,21139.0,Capilla de Piedra,37700,Fraccionamiento,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,372.548088088632,8.19712684005975,25.8821255861241,34.3090352320933,0.0,0.0323160125711511,0.0,1.58427384635254,10.4461512742983,1.42321332107324,15.5844743112908,8.66579802954615,149.281358322109,Medio,0.951758305224936,Guanajuato,,Guanajuato,0.16452192368097543
11003_0014,21140.0,Caracol,37769,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,426.81615447998,6.44245613307244,26.2833272731965,38.5656298859433,0.0,0.262160057571339,0.139818699239016,2.33560090934179,21.1293164070946,3.10763155157216,24.9266324107083,7.56879880041513,148.649570517485,Medio,0.947730278571444,Guanajuato,,Guanajuato,-0.01962013004981314
11003_0015,21142.0,Casco de Landeta,37700,Residencial,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,211.668496608734,5.13432545074694,24.4374526636598,44.6932551947254,0.0,0.0009032047906553,0.0,0.176017638038077,16.7288703313355,1.48910762961578,12.3926197249673,2.9102111734524,149.713762448376,Medio,0.954515141195707,Guanajuato,,Guanajuato,0.29055123806423455
11003_0016,21148.0,Club Colonial,0,Colonia,11,Guanajuato,11003,San Miguel de Allende,,,,,98.8420066833496,7.65753641105239,32.2830811568958,33.5929608714241,5.3351746614984,0.121046916226811,4.43940131841407,5.40150304410106,35.3078712310877,3.60816085900506,34.8146778586093,8.89577584918995,144.424015541647,Alto,0.920789828084912,Guanajuato,,Guanajuato,-1.2512082767475865
11003_0017,21149.0,Club de Golf Malanquin,37765,Residencial,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,259.369641132187,7.76812131705511,2.24763585726591,44.8494322591254,0.0,0.0,0.0,0.427395728114397,3.02253249357362,0.0195564035243485,3.17114055615421,0.703165766958115,151.383012294877,Bajo,0.965157611379254,Guanajuato,,Guanajuato,0.7770739165249537
11003_0018,21154.0,Del Tecolote,0,Barrio,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,69.9918632507324,9.47300151738741,28.200126924646,32.0254992208496,0.0,0.0079538206915978,0.0,1.7640324407951,16.9367163270538,2.59881475114601,17.1106807555655,11.0645425285609,148.550308932764,Medio,0.947097426360624,Guanajuato,,Guanajuato,-0.04855109695565711
11003_0019,21155.0,Deportiva,0,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,427.619144290686,3.98009934881828,6.11246116768261,30.437243864406,0.0,0.0,0.0,0.274805365799972,6.41212490463995,0.1832035679075,5.41196228672488,0.82814460715737,152.906985540168,Muy bajo,0.97487385598909,Guanajuato,,Guanajuato,1.2212540054167582
11003_0020,21159.0,El Atrio,37790,Colonia,11,Guanajuato,11003,San Miguel de Allende,110030001.0,San Miguel de Allende,,,120.811126708984,3.98009959175244,6.11735331233904,30.4307981657796,0.0,0.0,0.0,0.274977082348697,6.41613205303507,0.183318059010552,5.40788288265531,0.824931247046092,152.907231465898,Muy bajo,0.974875423913304,Guanajuato,,Guanajuato,1.221325683389423
