municipio_obs,geo_id,camas_x100k_2024,enfermeras_x100k_2024,mort_diab_hta_2024,mort_diabetes_2021,mort_diabetes_2024,camas_x100k_2023,mort_diabetes_2020,pobreza_pct_2020,mort_diab_hta_2023,mort_diab_hta_2022,mort_diab_hta_2020,carencia_salud_pct_2020,idx_marginacion_2020,camas_x100k_2022,mort_diab_hta_2021,camas_x100k_2021,mort_diabetes_2023,idx_rezago_2020,mort_diabetes_2022,camas_x100k_2020,enfermeras_x100k_2023,enfermeras_x100k_2021,enfermeras_x100k_2022,enfermeras_x100k_2020
Abasolo,11001,21.0588383944742,116.876553089332,13.898833340352944,151.775884735835,125.300088447121,21.1676050971593,103.985763598551,47.7769037516,12.277210956352397,10.96339503347561,12.43541090456894,24.46206019,55.5402606919792,21.28814569606914,16.35331715815688,21.37688517406129,102.662884721223,-0.540405,92.6034337779008,21.44036362856714,129.122391092672,129.330155303071,135.179725170039,137.21832722283
Acámbaro,11002,73.0480199421094,332.368490736598,21.0926157582841,249.048961383727,182.620049855274,73.03601588533346,174.728124857806,51.9105483996,17.98511891176336,26.39317613107088,19.56590981480639,20.3925879,56.9612217570423,73.06069517251457,28.28028499229134,72.98138062526797,159.766284749167,-0.842175,230.141189793421,72.80338535741912,360.615328433834,358.521032321629,366.216734552229,344.906038130773
Allende,11003,32.4913589790991,149.012094628282,10.25158395375023,129.286496618227,82.34878913668221,32.5780468899199,94.3396226415094,43.466392432,11.62699259691969,11.32681524893635,11.24166760817987,19.91513993,56.201217751103,32.68434250936857,16.8806386414191,32.74505154522769,94.9256883516632,-0.607835,86.2190414471274,32.76465936052423,160.081782131503,172.193805539559,169.620467160689,170.037283922721
Apaseo el Alto,11004,31.7304183655661,134.854278053656,13.644079897193444,160.402579021859,118.989068870873,31.64006264732404,158.039682042937,50.7421527587,13.447026625112716,13.5747320568876,16.89929273330413,26.50394227,56.7235853688555,31.56914431834325,17.92734706714892,31.45148608271741,121.814241192198,-0.697684,116.80583397787,31.29498654315579,166.110328898451,158.830004717723,161.002636023551,150.215935407148
Apaseo el Grande,11005,9.30023483092948,82.1520743398771,9.610242658627133,95.231893730974,72.8518395089476,9.454998148396196,91.6431366721157,41.1559721421,8.58828998479321,10.81947505509918,10.23761166427239,26.09208552,57.409175625332,9.61731116008816,10.66271630663042,9.76737371599733,69.3366530882388,-0.743184,94.5702264075336,9.907366126715212,95.3378979963283,93.6039981116411,92.9673412141855,97.4224335793663
Atarjea,11006,0.0,291.385904206884,9.105809506465125,74.1289844329133,54.63485703879071,0.0,111.690245718541,68.7772435897,7.326007326007325,9.223390518354549,11.16902457185406,9.314903846,49.6157618202359,0.0,9.26612305411416,0.0,54.9450549450549,0.816765,55.34034311012729,0.0,329.67032967033,352.112676056338,332.042058660764,353.685778108712
Celaya,11007,73.7770591412858,259.579235111354,12.725183173754944,119.262035729932,102.780325634175,76.41995422133198,124.45397941127,40.4969922484,14.111118645186,12.43822594936474,14.50389319997809,30.91543732,58.8389938098381,74.33276610574161,14.28523285116772,75.07704290063245,116.004390940295,-1.12077,106.957621054895,75.72996319259396,285.70433724474,270.913917898292,288.062639721502,268.359794754803
Comonfort,11009,21.795725616032,151.359205666889,15.862444753889932,151.884085922997,125.930859114851,21.76436448055717,126.132186531485,52.051214845,17.048752176436448,17.27616493300956,15.25598827571295,18.72817296,54.1045646023985,21.74622159399804,17.71981002434967,21.69772656042817,146.304894563745,-0.205953,143.766687204765,21.62266054825457,168.069259044303,165.143807709926,165.512908798763,147.75484707974
Coroneo,11010,0.0,290.196789698014,17.23043438831958,197.82393669634,154.16704452707,0.0,197.009044506134,52.4429024452,14.47178002894356,11.72967608048362,21.49189576430554,16.03088276,55.4795869955235,0.0,26.07679165542667,0.0,135.672937771346,-0.599197,90.2282775421817,0.0,298.480463096961,323.711896412193,324.821799151854,358.198262738426
Cortazar,11011,12.8553770086527,100.865265760198,17.008652657601974,155.624052450326,135.475896168109,12.92259366395292,151.06044431912,40.3287381244,18.48924939611725,16.09501054673051,17.9258393925356,27.61130386,57.5912510275716,12.99597124891284,17.77126276368237,11.04428759324893,149.106849968688,-0.884588,131.959092681269,11.07776591673548,107.356931977455,112.450928222171,113.964670952005,117.827146568914
